lat;long;formatted_address
-30 0265721;-51 1462529;Av. Benno Mentz, 1748 - Vila Ipiranga, Porto Alegre - RS, 91370-020, Brazil
-30 0272626;-51 2272094;Praça Pereira Parobé, 100 - Centro, Porto Alegre - RS, 90001-970, Brazil
-30 0101116;-51 1539477;Av. Assis Brasil, 3316 - Jardim Lindoia, Porto Alegre - RS, 91010-004, Brazil
-29 9746291;-51 1741435;Av. Fernando Ferrari, 330 - Anchieta, Porto Alegre - RS, 90200-041, Brazil
-30 1588498;-51 190712;Av. Juca Batista, 4455 - Cavalhada, Porto Alegre - RS, 91770-001, Brazil
-30 004448;-51 1967184;Av. França, 1000 - Navegantes, Porto Alegre - RS, 90220-230, Brazil
-30 0305244;-51 2259518;R. Vig. José Inácio, 547 - Centro Histórico, Porto Alegre - RS, 90020-100, Brazil
-30 0114885;-51 1835859;R. Américo Vespúcio, 1000 - Higienópolis, Porto Alegre - RS, 90550-031, Brazil
-30 029754;-51 214996;Rua Garibaldi, 1032 - Independência, Porto Alegre - RS, 90450-000, Brazil
-30 0008176;-51 1379359;Rua Baden Powell, 384 - Sarandi, Porto Alegre - RS, 91110-040, Brazil
-30 014399;-51 16844;Rua Bezerra de Menezes, 155 - Passo d'Areia, Porto Alegre - RS, 91350-130, Brazil
-30 000472;-51 150916;R. Assunção, 450 - Jd Lindoia, Porto Alegre - RS, 91050-130, Brazil
-30 038602;-51 1765426;Av. Iguaçu, 463 - Petrópolis, Porto Alegre - RS, 90470-430, Brazil
-30 029678;-51 2293383;R. dos Andradas, 1234 - Centro Histórico, Porto Alegre - RS, 90010-000, Brazil
NA;NA;NA
-30 0251439;-51 2227353;Av. Júlio de Castilhos, 435 - Centro, Porto Alegre - RS, 90030-131, Brazil
-29 9933357;-51 1179241;Av. Francisco Silveira Bitencourt, 1245 - Sarandi, Porto Alegre - RS, 91150-010, Brazil
-29 9777338;-51 1672949;Av. Fernando Ferrari, 1001 - Anchieta, Porto Alegre - RS, Brazil
-30 02925;-51 205962;R. Miguel Tostes, 125 - Rio Branco, Porto Alegre - RS, 90430-061, Brazil
-30 0999223;-51 2482214;Av. Wenceslau Escobar, 1100 - Cristal, Porto Alegre - RS, 91900-000, Brazil
-30 0034429;-51 1167808;Av. Plínio Kroeff, 1040 - Rubem Berta, Porto Alegre - RS, Brazil
-30 1128293;-51 2207506;Av. João Salomoni, 600 - Vila Nova, Porto Alegre - RS, Brazil
-30 009099;-51 100891;Rua Rudi Schaly, 125 - Rubem Berta, Porto Alegre - RS, 91180-380, Brazil
-30 052451;-51 21253;R. Prof. Oscar Pereira, 137 - Azenha, Porto Alegre - RS, 90160-000, Brazil
-30 0414304;-51 2182564;R. Gen. Lima e Silva, 1037 - Centro Histórico, Porto Alegre - RS, 90050-101, Brazil
-30 0135765;-51 1526587;Av. do Forte, 342 - Vila Ipiranga, Porto Alegre - RS, Brazil
-30 0469342;-51 2211855;Av. Getúlio Vargas, 288 - Menino Deus, Porto Alegre - RS, 90150-004, Brazil
-30 048831;-51 203534;R. São Luís, 666 - Santana, Porto Alegre - RS, 90620-170, Brazil
NA;NA;NA
-30 0345699;-51 1495533;R. Francisco de Aquino, 134 - Vila Jardim, Porto Alegre - RS, 91320-230, Brazil
-30 006631;-51 190401;R. Souza Reis, 62 - São João, Porto Alegre - RS, 90240-650, Brazil
-30 047748;-51 185847;R. Barão do Amazonas, 438 - Petrópolis, Porto Alegre - RS, 90670-000, Brazil
-30 0099289;-51 1361398;R. Eng. Frederico Dahne, 580 - Sarandi, Porto Alegre - RS, 91130-040, Brazil
-30 0610185;-51 1644106;R. Albion, 111 - Partenon, Porto Alegre - RS, 91530-010, Brazil
-30 0690993;-51 2006201;R. Raul Pompéia, 56 - Partenon, Porto Alegre - RS, 90660-200, Brazil
-30 0383515;-51 2233857;R. da República, 357 - Cidade Baixa, Porto Alegre - RS, 90050-321, Brazil
-30 0622918;-51 1615111;Av. Bento Gonçalves, 5364 - Partenon, Porto Alegre - RS, 90540-000, Brazil
-30 0388076;-51 2120488;Av. Venâncio Aires, 859 - Cidade Baixa, Porto Alegre - RS, 90040-191, Brazil
-30 0709467;-51 204502;R. Prof. Oscar Pereira, 2317 - Glória, Porto Alegre - RS, 90660-080, Brazil
-30 0584443;-51 2242355;R. Oscar Bittencourt, 24 - Menino Deus, Porto Alegre - RS, 90850-150, Brazil
